acc;t
12.624393; 0.288036
12.618516; 0.289018
12.619051; 0.290022
12.613855; 0.291034
12.618017; 0.292027
12.624953; 0.293025
  12.6159; 0.294026
12.603378; 0.295017
12.621935; 0.296018
 12.62168;  0.29702
12.625233; 0.298037
12.623456; 0.299019
12.625671;  0.30002
12.618175; 0.301016
12.618905; 0.302036
12.617567; 0.303018
12.624357; 0.304019
12.631123; 0.305021
12.615778; 0.306021
12.609097; 0.307014
12.611495; 0.308037
12.606311; 0.309022
12.606445; 0.310023
 12.60238; 0.311023
12.605422; 0.312017
12.614549; 0.313043
12.616618; 0.314026
12.597829; 0.315014
12.581012; 0.316021
12.578493; 0.317015
 12.58089; 0.318024
12.577118; 0.319032
 12.57971; 0.320027
12.581912; 0.321016
12.584675; 0.322018
12.583506; 0.323021
12.577836; 0.324033
12.569318; 0.325024
12.570997; 0.326015
12.573577; 0.327019
12.572518; 0.328039
12.569172;  0.32902
12.568648; 0.330022
12.568271; 0.331018
 12.57023; 0.332018
12.569391; 0.333011
12.572956; 0.334013
12.571751; 0.335048
12.578907; 0.336019
12.573443; 0.337018
12.570656; 0.338031
12.573504; 0.339023
12.581486; 0.340018
12.587352; 0.341019
12.572043; 0.342015
12.575609; 0.343024
12.582046;  0.34402
12.592219; 0.345019
12.608805; 0.346042
12.611507; 0.347024
12.607588; 0.348033
12.612164; 0.349019
12.604717; 0.350021
12.607649; 0.351017
12.617506; 0.352018
12.607138; 0.353017
12.607211; 0.354019
12.621996; 0.355015
12.638838; 0.356409
12.646163; 0.357035
12.641454; 0.358038
12.636088; 0.359026
 12.63509; 0.360015
 12.64188; 0.361017
12.641831; 0.362017
12.647259; 0.363015
12.647295; 0.364021
12.624114; 0.365024
12.638059; 0.366017
12.633362; 0.367016
12.629212; 0.368032
12.636501; 0.369036
12.635698; 0.370015
12.628141; 0.371016
12.633155; 0.372011
12.636611; 0.373012
12.638156; 0.374016
12.613259; 0.375012
12.599898; 0.376022
12.601735; 0.377013
  12.5998; 0.378032
12.602283;  0.37904
12.602989; 0.380027
 12.59458; 0.381018
12.597647; 0.382017
12.604242; 0.383014
12.598571; 0.384021
12.616666; 0.385013
12.597683; 0.386013
 12.59862; 0.387015
12.600482;  0.38802
12.595164; 0.389016
12.595833; 0.390031
12.593521; 0.391023
12.595614; 0.392015
12.594166; 0.393016
12.596539; 0.394014
12.576765; 0.395012
12.563026; 0.396011
12.562333; 0.397014
12.560288; 0.398036
12.565083; 0.399016
 12.55777; 0.400014
12.562527; 0.401026
12.568003; 0.402021
12.564219; 0.403011
12.562588; 0.404013
12.551065; 0.405019
12.561943; 0.406017
12.561931;  0.40701
12.564706; 0.408027
12.569719; 0.409016
12.564195; 0.410018
12.556358;  0.41101
12.562333; 0.412028
12.558475; 0.413026
12.565631; 0.414024
12.584224; 0.415008
12.581876; 0.416012
12.583847;  0.41701
12.580379; 0.418021
12.576814; 0.419015
12.578408;  0.42001
12.574039;  0.42101
12.577836; 0.422007
12.576558; 0.423032
12.577678; 0.424021
12.621509; 0.425022
12.637974; 0.426011
12.627655; 0.427013
12.624004; 0.428025
12.632729; 0.429018
12.626523; 0.430012
12.635869; 0.431012
  12.6283; 0.432009
12.627521; 0.433005
12.624101; 0.434028
12.636063; 0.435015
12.648269; 0.436012
12.647976; 0.437007
12.647636; 0.438024
12.646674;  0.43901
12.648171;  0.44002
12.645628; 0.441011
 12.64878; 0.442013
12.653611; 0.443007
12.653598; 0.444015
12.633289; 0.445028
12.634798; 0.446019
12.632863; 0.447009
12.624552; 0.448022
12.632327; 0.449011
12.635698; 0.450008
12.634323; 0.451011
12.639252;  0.45201
12.641284; 0.453011
12.646066; 0.454008
12.603366; 0.455014
12.603025; 0.456507
12.603208; 0.457027
12.601735; 0.458025
12.596466; 0.459016
12.600859; 0.460005
12.604437; 0.461007
12.608331;  0.46201
12.605775; 0.463008
 12.61422; 0.464004
12.597926; 0.465006
12.585064; 0.466003
12.584078; 0.467011
12.587826; 0.468019
